TIME_PERIOD,FREQ,REF_AREA,DATA_TYPE,CITIZENSHIP,MOTHER_AGE,value
2002,A,IT,TOTFERR,FRG,TOTAL,2.82
2003,A,IT,TOTFERR,FRG,TOTAL,2.47
2004,A,IT,TOTFERR,FRG,TOTAL,2.84
2005,A,IT,TOTFERR,FRG,TOTAL,2.69
2006,A,IT,TOTFERR,FRG,TOTAL,2.79
2007,A,IT,TOTFERR,FRG,TOTAL,2.67
2008,A,IT,TOTFERR,FRG,TOTAL,2.53
2009,A,IT,TOTFERR,FRG,TOTAL,2.43
2010,A,IT,TOTFERR,FRG,TOTAL,2.31
2011,A,IT,TOTFERR,FRG,TOTAL,2.22
2012,A,IT,TOTFERR,FRG,TOTAL,2.18
2013,A,IT,TOTFERR,FRG,TOTAL,2.09
2014,A,IT,TOTFERR,FRG,TOTAL,2.06
2015,A,IT,TOTFERR,FRG,TOTAL,2.01
2016,A,IT,TOTFERR,FRG,TOTAL,2.04
2017,A,IT,TOTFERR,FRG,TOTAL,2.06
2018,A,IT,TOTFERR,FRG,TOTAL,2.03
2019,A,IT,TOTFERR,FRG,TOTAL,1.99
2020,A,IT,TOTFERR,FRG,TOTAL,1.89
2021,A,IT,TOTFERR,FRG,TOTAL,1.87
2022,A,IT,TOTFERR,FRG,TOTAL,1.86
2023,A,IT,TOTFERR,FRG,TOTAL,1.82
2024,A,IT,TOTFERR,FRG,TOTAL,1.81
2002,A,IT,TOTFERR,ITL,TOTAL,1.21
2003,A,IT,TOTFERR,ITL,TOTAL,1.24
2004,A,IT,TOTFERR,ITL,TOTAL,1.26
2005,A,IT,TOTFERR,ITL,TOTAL,1.25
2006,A,IT,TOTFERR,ITL,TOTAL,1.27
2007,A,IT,TOTFERR,ITL,TOTAL,1.29
2008,A,IT,TOTFERR,ITL,TOTAL,1.33
2009,A,IT,TOTFERR,ITL,TOTAL,1.33
2010,A,IT,TOTFERR,ITL,TOTAL,1.33
2011,A,IT,TOTFERR,ITL,TOTAL,1.32
2012,A,IT,TOTFERR,ITL,TOTAL,1.31
2013,A,IT,TOTFERR,ITL,TOTAL,1.29
2014,A,IT,TOTFERR,ITL,TOTAL,1.29
2015,A,IT,TOTFERR,ITL,TOTAL,1.28
2016,A,IT,TOTFERR,ITL,TOTAL,1.27
2017,A,IT,TOTFERR,ITL,TOTAL,1.25
2018,A,IT,TOTFERR,ITL,TOTAL,1.22
2019,A,IT,TOTFERR,ITL,TOTAL,1.18
2020,A,IT,TOTFERR,ITL,TOTAL,1.17
2021,A,IT,TOTFERR,ITL,TOTAL,1.18
2022,A,IT,TOTFERR,ITL,TOTAL,1.18
2023,A,IT,TOTFERR,ITL,TOTAL,1.14
2024,A,IT,TOTFERR,ITL,TOTAL,1.11
1999,A,IT,TOTFERR,TOTAL,TOTAL,1.23
2000,A,IT,TOTFERR,TOTAL,TOTAL,1.26
